matrix_index,biokorf_drug_id,graph_node_index,has_kg_connection
588,BIOKORF_DRUG_588,588,False
589,BIOKORF_DRUG_589,589,True
590,BIOKORF_DRUG_590,590,True
591,BIOKORF_DRUG_591,591,True
592,BIOKORF_DRUG_592,592,True
593,BIOKORF_DRUG_593,593,True
594,BIOKORF_DRUG_594,594,True
595,BIOKORF_DRUG_595,595,True
596,BIOKORF_DRUG_596,596,True
597,BIOKORF_DRUG_597,597,True
598,BIOKORF_DRUG_598,598,True
599,BIOKORF_DRUG_599,599,True
600,BIOKORF_DRUG_600,600,True
601,BIOKORF_DRUG_601,601,True
602,BIOKORF_DRUG_602,602,True
603,BIOKORF_DRUG_603,603,True
604,BIOKORF_DRUG_604,604,True
605,BIOKORF_DRUG_605,605,True
606,BIOKORF_DRUG_606,606,True
607,BIOKORF_DRUG_607,607,True
608,BIOKORF_DRUG_608,608,True
609,BIOKORF_DRUG_609,609,True
610,BIOKORF_DRUG_610,610,True
611,BIOKORF_DRUG_611,611,True
612,BIOKORF_DRUG_612,612,True
613,BIOKORF_DRUG_613,613,True
614,BIOKORF_DRUG_614,614,False
615,BIOKORF_DRUG_615,615,True
616,BIOKORF_DRUG_616,616,True
617,BIOKORF_DRUG_617,617,True
618,BIOKORF_DRUG_618,618,True
619,BIOKORF_DRUG_619,619,True
620,BIOKORF_DRUG_620,620,True
621,BIOKORF_DRUG_621,621,True
622,BIOKORF_DRUG_622,622,True
623,BIOKORF_DRUG_623,623,True
624,BIOKORF_DRUG_624,624,True
625,BIOKORF_DRUG_625,625,True
626,BIOKORF_DRUG_626,626,True
627,BIOKORF_DRUG_627,627,True
628,BIOKORF_DRUG_628,628,True
629,BIOKORF_DRUG_629,629,True
630,BIOKORF_DRUG_630,630,True
631,BIOKORF_DRUG_631,631,True
632,BIOKORF_DRUG_632,632,True
633,BIOKORF_DRUG_633,633,True
634,BIOKORF_DRUG_634,634,True
635,BIOKORF_DRUG_635,635,True
636,BIOKORF_DRUG_636,636,True
637,BIOKORF_DRUG_637,637,True
638,BIOKORF_DRUG_638,638,True
639,BIOKORF_DRUG_639,639,True
640,BIOKORF_DRUG_640,640,True
641,BIOKORF_DRUG_641,641,True
642,BIOKORF_DRUG_642,642,True
643,BIOKORF_DRUG_643,643,True
644,BIOKORF_DRUG_644,644,True
645,BIOKORF_DRUG_645,645,True
646,BIOKORF_DRUG_646,646,True
647,BIOKORF_DRUG_647,647,True
648,BIOKORF_DRUG_648,648,True
649,BIOKORF_DRUG_649,649,True
650,BIOKORF_DRUG_650,650,True
651,BIOKORF_DRUG_651,651,True
652,BIOKORF_DRUG_652,652,True
653,BIOKORF_DRUG_653,653,True
654,BIOKORF_DRUG_654,654,True
655,BIOKORF_DRUG_655,655,True
656,BIOKORF_DRUG_656,656,True
657,BIOKORF_DRUG_657,657,True
658,BIOKORF_DRUG_658,658,True
659,BIOKORF_DRUG_659,659,True
660,BIOKORF_DRUG_660,660,True
661,BIOKORF_DRUG_661,661,True
662,BIOKORF_DRUG_662,662,True
663,BIOKORF_DRUG_663,663,True
664,BIOKORF_DRUG_664,664,False
665,BIOKORF_DRUG_665,665,False
666,BIOKORF_DRUG_666,666,True
667,BIOKORF_DRUG_667,667,True
668,BIOKORF_DRUG_668,668,True
669,BIOKORF_DRUG_669,669,True
670,BIOKORF_DRUG_670,670,True
671,BIOKORF_DRUG_671,671,True
672,BIOKORF_DRUG_672,672,True
673,BIOKORF_DRUG_673,673,True
674,BIOKORF_DRUG_674,674,True
675,BIOKORF_DRUG_675,675,True
676,BIOKORF_DRUG_676,676,True
677,BIOKORF_DRUG_677,677,True
678,BIOKORF_DRUG_678,678,True
679,BIOKORF_DRUG_679,679,True
680,BIOKORF_DRUG_680,680,True
681,BIOKORF_DRUG_681,681,True
682,BIOKORF_DRUG_682,682,True
683,BIOKORF_DRUG_683,683,True
684,BIOKORF_DRUG_684,684,True
685,BIOKORF_DRUG_685,685,True
686,BIOKORF_DRUG_686,686,True
687,BIOKORF_DRUG_687,687,True
688,BIOKORF_DRUG_688,688,True
689,BIOKORF_DRUG_689,689,True
