matrix_index,side_effect_name,sider_found,sider_pt_row_count,umls_cui_count,umls_cuis,matched_meddra_names,mapping_status
276,ear disorder,True,29,1,"[""C0013447""]","[""Ear disorder""]",unique_umls
277,ear infection,True,56,1,"[""C0699744""]","[""Ear infection""]",unique_umls
278,ear pain,True,123,1,"[""C0013456""]","[""Ear pain""]",unique_umls
279,bruise,False,0,0,[],[],unmatched
280,eczema,True,163,1,"[""C0013595""]","[""Eczema""]",unique_umls
281,ejaculation delayed,True,25,1,"[""C0234047""]","[""Ejaculation delayed""]",unique_umls
282,ejaculation disorder,True,122,1,"[""C0235969""]","[""Ejaculation disorder""]",unique_umls
283,ejaculation failure,True,37,1,"[""C0278106""]","[""Ejaculation failure""]",unique_umls
284,electrocardiogram abnormal,True,49,1,"[""C0522055""]","[""Electrocardiogram abnormal""]",unique_umls
285,electrocardiogram qt prolonged,True,62,1,"[""C0151878""]","[""Electrocardiogram QT prolonged""]",unique_umls
286,electrocardiogram st segment depression,True,12,1,"[""C0520887""]","[""Electrocardiogram ST segment depression""]",unique_umls
287,electroencephalogram abnormal,True,14,1,"[""C0151611""]","[""Electroencephalogram abnormal""]",unique_umls
288,electrolyte imbalance,True,10,1,"[""C0342579""]","[""Electrolyte imbalance""]",unique_umls
289,embolism,True,91,1,"[""C0013922""]","[""Embolism""]",unique_umls
290,embolism venous,True,36,1,"[""C0340726""]","[""Embolism venous""]",unique_umls
291,emotional disorder,True,9,1,"[""C0233459""]","[""Emotional disorder""]",unique_umls
292,emphysema,True,7,1,"[""C0034067""]","[""Emphysema""]",unique_umls
293,encephalopathy,True,46,1,"[""C0085584""]","[""Encephalopathy""]",unique_umls
294,endocrine disorder,True,42,1,"[""C0014130""]","[""Endocrine disorder""]",unique_umls
295,endometrial disorder,True,10,1,"[""C0151622""]","[""Endometrial disorder""]",unique_umls
296,ophthalmia,False,0,0,[],[],unmatched
297,enteritis,True,14,1,"[""C0014335""]","[""Enteritis""]",unique_umls
298,enterocolitis,True,15,1,"[""C0014356""]","[""Enterocolitis""]",unique_umls
299,enuresis,True,29,1,"[""C0014394""]","[""Enuresis""]",unique_umls
300,eosinophilia,True,152,1,"[""C0014457""]","[""Eosinophilia""]",unique_umls
301,epididymitis,True,13,1,"[""C0014534""]","[""Epididymitis""]",unique_umls
302,epigastric discomfort,True,17,1,"[""C1291078""]","[""Epigastric discomfort""]",unique_umls
303,epistaxis,True,471,1,"[""C0014591""]","[""Epistaxis""]",unique_umls
304,erectile dysfunction,True,322,1,"[""C0242350""]","[""Erectile dysfunction""]",unique_umls
305,gas raising,False,0,0,[],[],unmatched
306,erythema,True,422,1,"[""C0041834""]","[""Erythema""]",unique_umls
307,erythema multiforme,True,375,1,"[""C0014742""]","[""Erythema multiforme""]",unique_umls
308,erythema nodosum,True,25,1,"[""C0014743""]","[""Erythema nodosum""]",unique_umls
309,erythema of eyelid,True,17,1,"[""C0239454""]","[""Erythema of eyelid""]",unique_umls
310,euphoric mood,True,93,1,"[""C0235146""]","[""Euphoric mood""]",unique_umls
311,excoriation,True,41,1,"[""C0015256""]","[""Excoriation""]",unique_umls
312,exophthalmos,True,10,1,"[""C0015300""]","[""Exophthalmos""]",unique_umls
313,bone spur,False,0,0,[],[],unmatched
314,extrapyramidal disorder,True,156,1,"[""C0015371""]","[""Extrapyramidal disorder""]",unique_umls
315,cardiac complex,False,0,0,[],[],unmatched
316,extravasation,True,28,1,"[""C0015376""]","[""Extravasation""]",unique_umls
317,eye discharge,True,15,1,"[""C0423006""]","[""Eye discharge""]",unique_umls
318,eye disorder,True,176,1,"[""C0015397""]","[""Eye disorder""]",unique_umls
319,eye haemorrhage,True,31,1,"[""C0015402""]","[""Eye haemorrhage""]",unique_umls
320,eye infection,True,16,1,"[""C0015403""]","[""Eye infection""]",unique_umls
321,eye irritation,True,69,1,"[""C0235266""]","[""Eye irritation""]",unique_umls
322,eye oedema,True,10,1,"[""C0743680""]","[""Eye oedema""]",unique_umls
