matrix_index,drug_name,top1_neighbor_index,top1_neighbor_name,top1_nonself_cosine,top5_mean_cosine,top10_mean_cosine,tenth_neighbor_cosine,top1_minus_tenth_similarity_margin,top1_minus_top10_mean_margin
127,timolol,216,bosentan,1.0000000000000004,1.0000000000000004,0.9999999999999997,0.9999999999999968,3.6637359812630166e-15,7.771561172376096e-16
128,treprostinil,315,estradiol,0.9939179419685219,0.9939179407340907,0.9926797280837082,0.9911390690580042,0.0027788729105177046,0.0012382138848137103
129,palonosetron,264,aprepitant,0.9999999999999999,0.9999999999999993,0.9999999999999982,0.9999999999999973,2.55351295663786e-15,1.6653345369377348e-15
130,mexiletine,361,zonisamide,0.9875987337308049,0.987598732276262,0.9875987315945901,0.9875987296759041,4.0549007485068955e-09,2.136214760639632e-09
131,dexrazoxane,68,carmustine,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.0,1.1102230246251565e-16
132,amlodipine,520,bepridil,0.9999999999999953,0.9999999999999949,0.9999999999999947,0.9999999999999941,1.2212453270876722e-15,6.661338147750939e-16
133,digoxin,680,crizotinib,0.9999999999999977,0.9999999999999973,0.9999999999999971,0.9999999999999972,4.440892098500626e-16,5.551115123125783e-16
134,nimodipine,357,ondansetron,0.9848725961826783,0.9848725952167843,0.9848315359034998,0.9844620082160399,0.00041058796663839825,4.106027917849531e-05
135,beclometasone,637,prucalopride,1.0000000000000002,0.9921689939970333,0.9853061840863054,0.9768146058549029,0.02318539414509735,0.014693815913694785
136,progesterone,99,zolmitriptan,0.9999999999999956,0.9999999999999947,0.9999999999999941,0.9999999999999933,2.220446049250313e-15,1.4432899320127035e-15
137,sorafenib,24,fluvoxamine,0.9999999999999962,0.9999999999999958,0.9999999999999953,0.9999999999999951,1.1102230246251565e-15,8.881784197001252e-16
138,zoledronic.acid,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
139,nisoldipine,40,dofetilide,0.9999999999999981,0.9999999999999979,0.9999999999999961,0.9999999999999928,5.329070518200751e-15,1.9984014443252818e-15
140,eszopiclone,31,lorazepam,0.9999999999999998,0.9999999999999998,0.9984586917512516,0.9845869175125336,0.015413082487466201,0.0015413082487482077
141,alprazolam,331,diazepam,0.9876814237079984,0.9858247196561869,0.9852058182655321,0.9845869155035766,0.0030945082044218086,0.0024756054424662777
142,loxapine,322,dicycloverine,0.9999999999999936,0.9889143642000221,0.9871630312024282,0.9854116976017401,0.014588302398253483,0.012836968797565351
143,mupirocin,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
144,rosiglitazone,377,salmeterol,0.9999999999999968,0.9999999999999958,0.9999999999999952,0.999999999999994,2.7755575615628914e-15,1.5543122344752192e-15
145,pramipexole,311,alprostadil,0.9999999999999972,0.9909143511775541,0.9876938296949278,0.9829375349468187,0.017062465053178544,0.01230617030506942
146,miglustat,68,carmustine,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.0,1.1102230246251565e-16
147,methylphenidate,85,raltitrexed,1.0000000000000002,1.0000000000000002,0.997225032865338,0.9902731845290565,0.009726815470943673,0.0027749671346621874
148,hyoscyamine,215,zanamivir,1.0,1.0,1.0,1.0,0.0,0.0
149,zolpidem,559,bromazepam,0.9999999999999968,0.9857972445422171,0.9834424226119856,0.981087600681754,0.018912399318242734,0.016557577388011224
150,famciclovir,235,linezolid,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0
151,streptozocin,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
152,allopurinol,158,teniposide,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0
153,ceftazidime,102,piperacillin,1.0000000000000007,1.0000000000000007,0.9989318114173908,0.98931811417391,0.010681885826090642,0.0010681885826098192
154,cerivastatin,505,anastrozole,0.9999999999999982,0.9999999999999973,0.9999999999999964,0.9999999999999948,3.4416913763379853e-15,1.7763568394002505e-15
155,trimethoprim,36,fluconazole,0.9999999999999983,0.9999999999999984,0.9999999999999984,0.9999999999999983,0.0,-1.1102230246251565e-16
156,gemcitabine,351,bumetanide,1.0,0.9999999999999991,0.9999999999999988,0.9999999999999984,1.5543122344752192e-15,1.2212453270876722e-15
157,entecavir,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
158,teniposide,152,allopurinol,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0
159,epirubicin,41,azithromycin,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999993,5.551115123125783e-16,1.1102230246251565e-16
160,lansoprazole,112,omeprazole,0.9999999999999988,0.9999999999999982,0.999999999999998,0.9999999999999974,1.3322676295501878e-15,7.771561172376096e-16
161,loratadine,239,bisoprolol,0.9999999999999963,0.9999999999999962,0.9999999999999958,0.9999999999999946,1.7763568394002505e-15,5.551115123125783e-16
162,prazosin,477,terazosin,0.9832875325799039,0.9811577016907769,0.9787670872760181,0.9749106033255341,0.008376929254369725,0.004520445303885734
163,imipramine,458,sertraline,0.9999999999999928,0.9999999999999917,0.9999999999999911,0.9999999999999899,2.886579864025407e-15,1.6653345369377348e-15
164,acitretin,514,dexamethasone,0.9877892249546099,0.987789224101036,0.9877892237343062,0.9877892223956268,2.558983025480188e-09,1.2203036359181851e-09
165,verteporfin,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
166,nabumetone,82,atomoxetine,0.9999999999999953,0.9954348855604677,0.9908693265186217,0.9863037673361569,0.013696232663838459,0.009130673481373641
167,ketorolac,424,mycophenolic.acid,0.9999999999999978,0.999999999999997,0.9999999999999968,0.9999999999999967,1.1102230246251565e-15,9.992007221626409e-16
168,montelukast,456,pimozide,1.0000000000000002,0.9999999999999984,0.9999999999999976,0.9999999999999946,5.662137425588298e-15,2.6645352591003757e-15
169,fluoxetine,458,sertraline,0.9999999999999966,0.9999999999999953,0.9999999999999947,0.9999999999999936,2.9976021664879227e-15,1.887379141862766e-15
