matrix_index,drug_name,stitch_id,stitch_inchikey,optimuskg_id,optimuskg_name,optimuskg_inchikey,was_previous_name_candidate
187,haloperidol,CIDm00003559,BVUSNQJCSYDJJG-UHFFFAOYSA-N,CHEMBL4297147,HALOPERIDOL LACTATE,BVUSNQJCSYDJJG-UHFFFAOYSA-N,false
187,haloperidol,CIDm00003559,LNEPOXFFQSENCJ-UHFFFAOYSA-N,CHEMBL54,HALOPERIDOL,LNEPOXFFQSENCJ-UHFFFAOYSA-N,true
189,nitazoxanide,CIDm00041684,YQNQNVDNTFHQSW-UHFFFAOYSA-N,CHEMBL1401,NITAZOXANIDE,YQNQNVDNTFHQSW-UHFFFAOYSA-N,true
192,albendazole,CIDm00002082,HXHWSAZORRCQMX-UHFFFAOYSA-N,CHEMBL1483,ALBENDAZOLE,HXHWSAZORRCQMX-UHFFFAOYSA-N,true
196,metolazone,CIDm00004170,AQCHWTWZEMGIFD-UHFFFAOYSA-N,CHEMBL878,METOLAZONE,AQCHWTWZEMGIFD-UHFFFAOYSA-N,true
197,oxaliplatin,CIDm00004609,ZROHGHOFXNOHSO-BNTLRKBRSA-L,DRUGBANK:DB00526,Oxaliplatin,ZROHGHOFXNOHSO-BNTLRKBRSA-L,true
197,oxaliplatin,CIDm00004609,OLESAACUTLOWQZ-UHFFFAOYSA-L,DRUGBANK:DB00958,Carboplatin,OLESAACUTLOWQZ-UHFFFAOYSA-L,false
197,oxaliplatin,CIDm00004609,BASFCYQUMIYNBI-UHFFFAOYSA-N,DRUGBANK:DB12257,Platinum,BASFCYQUMIYNBI-UHFFFAOYSA-N,false
197,oxaliplatin,CIDm00004609,GYAVMUDJCHAASE-UHFFFAOYSA-M,DRUGBANK:DB13145,Nedaplatin,GYAVMUDJCHAASE-UHFFFAOYSA-M,false
198,lercanidipine,CIDm00065866,WMFYOYKPJLRMJI-UHFFFAOYSA-N,CHEMBL2106419,LERCANIDIPINE HYDROCHLORIDE,WMFYOYKPJLRMJI-UHFFFAOYSA-N,false
198,lercanidipine,CIDm00065866,ZDXUKAKRHYTAKV-UHFFFAOYSA-N,CHEMBL250270,LERCANIDIPINE,ZDXUKAKRHYTAKV-UHFFFAOYSA-N,true
199,foscarnet,CIDm00003414,ZJAOAACCNHFJAH-UHFFFAOYSA-N,CHEMBL666,FOSCARNET,ZJAOAACCNHFJAH-UHFFFAOYSA-N,true
199,foscarnet,CIDm00003414,DFHAXXVZCFXGOQ-UHFFFAOYSA-K,CHEMBL754,FOSCARNET SODIUM,DFHAXXVZCFXGOQ-UHFFFAOYSA-K,false
200,erlotinib,CIDm00176870,GTTBEUCJPZQMDZ-UHFFFAOYSA-N,CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,GTTBEUCJPZQMDZ-UHFFFAOYSA-N,false
200,erlotinib,CIDm00176870,AAKJLRGGTJKAMG-UHFFFAOYSA-N,CHEMBL553,ERLOTINIB,AAKJLRGGTJKAMG-UHFFFAOYSA-N,true
201,cyclophosphamide,CIDm00002907,PWOQRKCAHTVFLB-UHFFFAOYSA-N,CHEMBL1200796,CYCLOPHOSPHAMIDE,PWOQRKCAHTVFLB-UHFFFAOYSA-N,true
