matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
223,clonidine,CIDm00002803,CHEMBL134,CLONIDINE,unique_exact,high,1,resolved
224,valaciclovir,CIDm00060772,CHEMBL1349,VALACYCLOVIR,unique_exact,high,1,resolved
225,valdecoxib,CIDm00119607,CHEMBL865,VALDECOXIB,unique_exact,high,1,resolved
226,voriconazole,CIDm00071616,CHEMBL638,VORICONAZOLE,unique_exact,high,1,resolved
227,levocarnitine,CIDm00010917,CHEMBL1149,LEVOCARNITINE,unique_exact,high,1,resolved
228,enalapril,CIDm05388961,CHEMBL578,ENALAPRIL,unique_exact,high,1,resolved
229,nizatidine,CIDm03033637,CHEMBL3183075,NIZATIDINE,unique_exact,high,1,resolved
230,diclofenac,CIDm00003032,CHEMBL139,DICLOFENAC,unique_exact,high,1,resolved
231,doxazosin,CIDm00003157,CHEMBL707,DOXAZOSIN,unique_exact,high,1,resolved
232,amiloride,CIDm00016230,CHEMBL945,AMILORIDE,unique_exact,high,1,resolved
233,gadoteridol,CIDm00060714,"","","","",2,ambiguous
234,labetalol,CIDm00003869,CHEMBL429,LABETALOL,unique_exact,high,1,resolved
235,linezolid,CIDm00441401,CHEMBL126,LINEZOLID,unique_exact,high,1,resolved
236,ivermectin,CIDm06435110,"","","","",2,ambiguous
237,medroxyprogesterone,CIDm00010631,CHEMBL717,MEDROXYPROGESTERONE ACETATE,unique_exact,high,1,resolved
238,butorphanol,CIDm05361092,"","","","",2,ambiguous
239,bisoprolol,CIDm00002405,CHEMBL645,BISOPROLOL,unique_exact,high,1,resolved
240,rifabutin,CIDm06323490,CHEMBL444633,RIFABUTIN,unique_exact,high,1,resolved
241,imatinib,CIDm00005291,CHEMBL941,IMATINIB,unique_exact,high,1,resolved
242,triamcinolone,CIDm00031307,CHEMBL1451,TRIAMCINOLONE,unique_exact,high,1,resolved
243,testosterone,CIDm00006013,"","","","",2,ambiguous
244,efavirenz,CIDm00064139,CHEMBL223228,EFAVIRENZ,unique_exact,high,1,resolved
245,alendronic.acid,CIDm00002088,CHEMBL870,ALENDRONIC ACID,dot_normalized_exact,high,1,resolved
246,clofarabine,CIDm00119182,CHEMBL1750,CLOFARABINE,unique_exact,high,1,resolved
247,dexmedetomidine,CIDm05311068,CHEMBL778,DEXMEDETOMIDINE,unique_exact,high,1,resolved
248,adenosine,CIDm00060961,CHEMBL477,ADENOSINE,unique_exact,high,1,resolved
249,simvastatin,CIDm00054454,CHEMBL1064,SIMVASTATIN,unique_exact,high,1,resolved
250,pemetrexed,CIDm00060843,CHEMBL225072,PEMETREXED,unique_exact,high,1,resolved
251,gonadorelin,CIDm00036523,CHEMBL1007,GONADORELIN,canonical_name_disambiguation,high,2,resolved
252,stavudine,CIDm00018283,CHEMBL991,STAVUDINE,unique_exact,high,1,resolved
253,calcium.folinate,CIDm00006006,CHEMBL1201138,LEUCOVORIN CALCIUM,dot_normalized_exact,high,1,resolved
254,latanoprost,CIDm05311221,CHEMBL1051,LATANOPROST,unique_exact,high,1,resolved
255,estrone,CIDm03001028,CHEMBL1405,ESTRONE,unique_exact,high,1,resolved
256,trazodone,CIDm00005533,CHEMBL621,TRAZODONE,unique_exact,high,1,resolved
257,sevelamer,CIDm03085017,"","","","",2,ambiguous
258,acamprosate,CIDm00071158,CHEMBL1201293,ACAMPROSATE,unique_exact,high,1,resolved
259,verapamil,CIDm00002520,CHEMBL6966,VERAPAMIL,unique_exact,high,1,resolved
260,nilutamide,CIDm00004493,CHEMBL1274,NILUTAMIDE,unique_exact,high,1,resolved
261,nafarelin,CIDm25077649,"","","","",2,ambiguous
262,sumatriptan,CIDm00005358,CHEMBL128,SUMATRIPTAN,unique_exact,high,1,resolved
263,cefixime,CIDm06321411,CHEMBL1541,CEFIXIME,unique_exact,high,1,resolved
264,aprepitant,CIDm00151165,CHEMBL1471,APREPITANT,unique_exact,high,1,resolved
265,galantamine,CIDm00009651,CHEMBL659,GALANTAMINE,unique_exact,high,1,resolved
266,tamoxifen,CIDm02733525,CHEMBL83,TAMOXIFEN,unique_exact,high,1,resolved
267,losartan,CIDm00003961,CHEMBL191,LOSARTAN,unique_exact,high,1,resolved
268,amphotericin.B,CIDm05280965,CHEMBL267345,AMPHOTERICIN B,dot_normalized_exact,high,1,resolved
269,midazolam,CIDm00004192,CHEMBL655,MIDAZOLAM,unique_exact,high,1,resolved
270,tobramycin,CIDm00036294,CHEMBL1747,TOBRAMYCIN,unique_exact,high,1,resolved
271,trovafloxacin,CIDm00062959,CHEMBL428,TROVAFLOXACIN,unique_exact,high,1,resolved
272,pentosan.polysulfate.sodium,CIDm00037720,CHEMBL1201516,PENTOSAN POLYSULFATE SODIUM,dot_normalized_exact,high,1,resolved
273,moexipril,CIDm00055331,CHEMBL1165,MOEXIPRIL,unique_exact,high,1,resolved
274,phentolamine,CIDm00005775,CHEMBL597,PHENTOLAMINE,unique_exact,high,1,resolved
275,fluorescein,CIDm00016850,CHEMBL4297067,FLUORESCEIN,unique_exact,high,1,resolved
276,daunorubicin,CIDm00030323,CHEMBL178,DAUNORUBICIN,unique_exact,high,1,resolved
