matrix_index,side_effect_name,optimuskg_id,optimuskg_name,ontology_namespace,matched_field,properties.code,properties.umls_cui,properties.concept_ids,properties.xrefs,properties.snomed_concept_ids
599,muscle spasms,meddra:10028334,Muscle spasms,MEDDRA,properties.name,"","",[],[],[]
602,muscular weakness,HP_0001324,Muscle weakness,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0001324,C0151786,"[""21002860""]","[""SNOMEDCT_US:26544005"",""UMLS:C0151786""]","[""26544005.0""]"
602,muscular weakness,meddra:10028372,Muscular weakness,MEDDRA,properties.name,"","",[],[],[]
605,musculoskeletal pain,meddra:10028391,Musculoskeletal pain,MEDDRA,properties.name,"","",[],[],[]
607,myalgia,HP_0003326,Myalgia,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0003326,"",[],"[""NCIt:C27009"",""UMLS:C1963177"",""SNOMEDCT_US:68962001"",""UMLS:C0231528""]",[]
607,myalgia,meddra:10028411,Myalgia,MEDDRA,properties.name,"","",[],[],[]
608,mydriasis,HP_0011499,Mydriasis,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0011499,C0026961,"[""21001349""]","[""UMLS:C0026961"",""SNOMEDCT_US:37125009""]","[""37125009.0""]"
609,myelitis,HP_0012486,Myelitis,HPO,properties.name,"","",[],[],[]
610,myocardial infarction,HP_0001658,Myocardial infarction,HPO,properties.name,"","",[],[],[]
610,myocardial infarction,meddra:10028596,Myocardial infarction,MEDDRA,properties.name,"","",[],[],[]
612,myocarditis,HP_0012819,Myocarditis,HPO,properties.name,"","",[],[],[]
613,myoclonus,HP_0001336,Myoclonus,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001336,C0027066,"[""21001061""]","[""UMLS:C1854302"",""SNOMEDCT_US:17450006"",""SNOMEDCT_US:127324008"",""UMLS:C0027066""]","[""17450006.0""]"
614,myopathy,HP_0003198,Myopathy,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0003198,C0026848,"[""21001161""]","[""UMLS:C0026848"",""SNOMEDCT_US:129565002""]","[""129565002.0""]"
615,myositis,HP_0100614,Myositis,HPO,properties.name,"","",[],[],[]
617,nasal congestion,HP_0001742,Nasal congestion,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0001742,"",[],"[""UMLS:C0027429"",""SNOMEDCT_US:267100006"",""SNOMEDCT_US:68235000"",""UMLS:C0027424"",""SNOMEDCT_US:232209000""]",[]
