matrix_index,drug_name,stitch_id,stitch_found,distinct_stitch_inchikey_count,optimuskg_structure_match_count,optimuskg_structure_match_ids,structure_status
278,tizanidine,CIDm00005487,true,19,2,"[""CHEMBL1079"",""CHEMBL1200329""]",multiple_structure_matches
279,eplerenone,CIDm00443872,false,0,0,[],stitch_not_found
280,amprenavir,CIDm00065016,false,0,0,[],stitch_not_found
281,naltrexone,CIDm05360515,false,0,0,[],stitch_not_found
282,delavirdine,CIDm00005625,true,6,2,"[""CHEMBL593"",""CHEMBL929""]",multiple_structure_matches
283,tamsulosin,CIDm00129211,false,0,0,[],stitch_not_found
284,porfimer.sodium,CIDm03086257,true,4,0,[],stitch_found_no_optimuskg_match
285,sufentanil,CIDm00041693,true,21,2,"[""CHEMBL1201163"",""CHEMBL658""]",multiple_structure_matches
286,lamivudine,CIDm00060825,false,0,0,[],stitch_not_found
287,ibandronic.acid,CIDm00060852,true,53,2,"[""CHEMBL3989569"",""CHEMBL997""]",multiple_structure_matches
288,apomorphine,CIDm00006005,false,0,0,[],stitch_not_found
289,paroxetine,CIDm00043815,false,0,0,[],stitch_not_found
290,adefovir.dipivoxil,CIDm00060871,true,10,1,"[""CHEMBL922""]",unique_structure_match
291,lisinopril,CIDm05362118,false,0,0,[],stitch_not_found
292,imiquimod,CIDm00057469,true,15,1,"[""CHEMBL1282""]",unique_structure_match
293,glyceryl.trinitrate,CIDm00004510,true,7,1,"[""CHEMBL730""]",unique_structure_match
294,nateglinide,CIDm05311309,false,0,0,[],stitch_not_found
295,risperidone,CIDm00005073,true,96,1,"[""CHEMBL85""]",unique_structure_match
296,naftifine,CIDm00047641,false,0,0,[],stitch_not_found
297,esomeprazole,CIDm09579578,false,0,0,[],stitch_not_found
298,pentamidine.isethionate,CIDm00004735,true,20,1,"[""CHEMBL55""]",unique_structure_match
299,riluzole,CIDm00005070,true,13,1,"[""CHEMBL744""]",unique_structure_match
300,hydrocortisone,CIDm00005754,false,0,0,[],stitch_not_found
301,mannitol,CIDm00006251,false,0,0,[],stitch_not_found
302,gadobenic.acid,CIDm06918204,false,0,0,[],stitch_not_found
303,modafinil,CIDm00004236,true,24,2,"[""CHEMBL1201192"",""CHEMBL1373""]",multiple_structure_matches
304,deferoxamine,CIDm00002973,true,16,2,"[""CHEMBL1234"",""CHEMBL556""]",multiple_structure_matches
305,tretinoin,CIDm00444795,false,0,0,[],stitch_not_found
306,dolasetron,CIDm14476155,false,0,0,[],stitch_not_found
