matrix_index,drug_name,stitch_id,name_resolution_status,name_selected_id,name_candidate_ids,structure_status,structure_match_ids,intersection_ids,proposed_optimuskg_id,evidence_class,confidence,final_status
120,sapropterin,CIDm00044257,resolved,CHEMBL1201774,"[""CHEMBL1201774""]",stitch_not_found,[],[],CHEMBL1201774,name_only_resolved,high,resolved
121,vinorelbine,CIDm00060779,resolved,CHEMBL553025,"[""CHEMBL553025""]",stitch_not_found,[],[],CHEMBL553025,name_only_resolved,high,resolved
122,anidulafungin,CIDm00166548,resolved,CHEMBL264241,"[""CHEMBL264241""]",unique_structure_match,"[""CHEMBL264241""]","[""CHEMBL264241""]",CHEMBL264241,confirmed_name_structure,very_high,resolved
123,clozapine,CIDm00002818,resolved,CHEMBL42,"[""CHEMBL42""]",stitch_found_no_optimuskg_match,[],[],CHEMBL42,name_only_resolved,high,resolved
124,levonorgestrel,CIDm00013109,resolved,CHEMBL1389,"[""CHEMBL1389""]",stitch_not_found,[],[],CHEMBL1389,name_only_resolved,high,resolved
125,cidofovir,CIDm00466146,resolved,CHEMBL5314375,"[""CHEMBL152"",""CHEMBL5314375""]",stitch_not_found,[],[],CHEMBL5314375,supported_canonical_name,high,resolved
126,mirtazapine,CIDm00004205,resolved,CHEMBL654,"[""CHEMBL654""]",multiple_structure_matches,"[""CHEMBL1366933"",""CHEMBL2107339"",""CHEMBL654""]","[""CHEMBL654""]",CHEMBL654,confirmed_name_structure,very_high,resolved
127,timolol,CIDm00033624,resolved,CHEMBL499,"[""CHEMBL499""]",stitch_not_found,[],[],CHEMBL499,name_only_resolved,high,resolved
128,treprostinil,CIDm06918140,ambiguous,"","[""CHEMBL1237119"",""RXNORM:343048""]",stitch_not_found,[],[],"",unresolved_ambiguous,review_required,unresolved
129,palonosetron,CIDm06337614,resolved,CHEMBL1189679,"[""CHEMBL1189679""]",stitch_not_found,[],[],CHEMBL1189679,name_only_resolved,high,resolved
130,mexiletine,CIDm00004178,resolved,CHEMBL558,"[""CHEMBL147507"",""CHEMBL558""]",multiple_structure_matches,"[""CHEMBL1200606"",""CHEMBL147507"",""CHEMBL558""]","[""CHEMBL147507"",""CHEMBL558""]",CHEMBL558,confirmed_name_structure,very_high,resolved
131,dexrazoxane,CIDm00071384,resolved,CHEMBL1738,"[""CHEMBL1738""]",stitch_not_found,[],[],CHEMBL1738,name_only_resolved,high,resolved
132,amlodipine,CIDm00002162,ambiguous,"","[""CHEMBL1491"",""RXNORM:17767""]",multiple_structure_matches,"[""CHEMBL1200984"",""CHEMBL1491"",""CHEMBL2111097"",""CHEMBL4594288""]","[""CHEMBL1491""]",CHEMBL1491,resolved_by_unique_intersection,very_high,resolved
133,digoxin,CIDm02724385,resolved,CHEMBL1751,"[""CHEMBL1751""]",stitch_not_found,[],[],CHEMBL1751,name_only_resolved,high,resolved
134,nimodipine,CIDm00004497,resolved,CHEMBL1428,"[""CHEMBL1428""]",unique_structure_match,"[""CHEMBL1428""]","[""CHEMBL1428""]",CHEMBL1428,confirmed_name_structure,very_high,resolved
135,beclometasone,CIDm00020469,resolved,CHEMBL1200500,"[""CHEMBL1200500""]",stitch_not_found,[],[],CHEMBL1200500,name_only_resolved,high,resolved
