matrix_index,biokorf_drug_id,drug_name,gene_count,pathway_count,has_gene_evidence,has_pathway_evidence
66,BIOKORF_DRUG_066,doxycycline,0,0,False,False
67,BIOKORF_DRUG_067,anagrelide,2,8,True,True
68,BIOKORF_DRUG_068,carmustine,1,5,True,True
69,BIOKORF_DRUG_069,metoprolol,6,30,True,True
70,BIOKORF_DRUG_070,ropinirole,10,16,True,True
71,BIOKORF_DRUG_071,isradipine,9,19,True,True
72,BIOKORF_DRUG_072,topiramate,40,53,True,True
73,BIOKORF_DRUG_073,olmesartan.medoxomil,0,0,False,False
74,BIOKORF_DRUG_074,amsacrine,5,20,True,True
75,BIOKORF_DRUG_075,theophylline,22,67,True,True
76,BIOKORF_DRUG_076,argatroban,6,31,True,True
77,BIOKORF_DRUG_077,lidocaine,18,61,True,True
78,BIOKORF_DRUG_078,pamidronic.acid,4,22,True,True
79,BIOKORF_DRUG_079,venlafaxine,7,26,True,True
80,BIOKORF_DRUG_080,conjugated.estrogens,0,0,False,False
81,BIOKORF_DRUG_081,travoprost,1,2,True,True
82,BIOKORF_DRUG_082,atomoxetine,17,45,True,True
83,BIOKORF_DRUG_083,bleomycin,0,0,False,False
84,BIOKORF_DRUG_084,chlorambucil,2,7,True,True
85,BIOKORF_DRUG_085,raltitrexed,2,3,True,True
86,BIOKORF_DRUG_086,etonogestrel,4,22,True,True
87,BIOKORF_DRUG_087,morphine,14,49,True,True
88,BIOKORF_DRUG_088,ropivacaine,4,16,True,True
89,BIOKORF_DRUG_089,bupivacaine,5,16,True,True
90,BIOKORF_DRUG_090,penciclovir,0,0,False,False
91,BIOKORF_DRUG_091,tenofovir.disoproxil,15,17,True,True
92,BIOKORF_DRUG_092,flucloxacillin,2,10,True,True
93,BIOKORF_DRUG_093,tranexamic.acid,2,6,True,True
94,BIOKORF_DRUG_094,ertapenem,0,0,False,False
95,BIOKORF_DRUG_095,bexarotene,5,40,True,True
96,BIOKORF_DRUG_096,ibutilide,10,16,True,True
97,BIOKORF_DRUG_097,chlortalidone,3,18,True,True
98,BIOKORF_DRUG_098,valproic.acid,46,83,True,True
99,BIOKORF_DRUG_099,zolmitriptan,11,24,True,True
100,BIOKORF_DRUG_100,paracetamol,21,56,True,True
101,BIOKORF_DRUG_101,gefitinib,11,68,True,True
102,BIOKORF_DRUG_102,piperacillin,2,2,True,True
103,BIOKORF_DRUG_103,dihydroergotamine,6,17,True,True
104,BIOKORF_DRUG_104,tolcapone,2,10,True,True
105,BIOKORF_DRUG_105,hydromorphone,7,26,True,True
106,BIOKORF_DRUG_106,indometacin,31,76,True,True
107,BIOKORF_DRUG_107,metformin,9,18,True,True
108,BIOKORF_DRUG_108,ipratropium.bromide,0,0,False,False
109,BIOKORF_DRUG_109,olanzapine,44,48,True,True
110,BIOKORF_DRUG_110,atenolol,5,24,True,True
111,BIOKORF_DRUG_111,pimecrolimus,3,27,True,True
112,BIOKORF_DRUG_112,omeprazole,14,31,True,True
113,BIOKORF_DRUG_113,cetirizine,2,6,True,True
114,BIOKORF_DRUG_114,diltiazem,11,30,True,True
115,BIOKORF_DRUG_115,alfuzosin,5,12,True,True
116,BIOKORF_DRUG_116,nitisinone,1,1,True,True
117,BIOKORF_DRUG_117,clobazam,24,19,True,True
118,BIOKORF_DRUG_118,megestrol,4,19,True,True
119,BIOKORF_DRUG_119,aztreonam,0,0,False,False
120,BIOKORF_DRUG_120,sapropterin,5,22,True,True
121,BIOKORF_DRUG_121,vinorelbine,3,19,True,True
122,BIOKORF_DRUG_122,anidulafungin,0,0,False,False
123,BIOKORF_DRUG_123,clozapine,38,45,True,True
124,BIOKORF_DRUG_124,levonorgestrel,8,31,True,True
125,BIOKORF_DRUG_125,cidofovir,0,0,False,False
126,BIOKORF_DRUG_126,mirtazapine,12,28,True,True
127,BIOKORF_DRUG_127,timolol,5,17,True,True
128,BIOKORF_DRUG_128,treprostinil,4,15,True,True
129,BIOKORF_DRUG_129,palonosetron,4,16,True,True
130,BIOKORF_DRUG_130,mexiletine,7,21,True,True
131,BIOKORF_DRUG_131,dexrazoxane,2,2,True,True
132,BIOKORF_DRUG_132,amlodipine,14,29,True,True
133,BIOKORF_DRUG_133,digoxin,9,18,True,True
134,BIOKORF_DRUG_134,nimodipine,11,21,True,True
135,BIOKORF_DRUG_135,beclometasone,8,30,True,True
136,BIOKORF_DRUG_136,progesterone,29,70,True,True
137,BIOKORF_DRUG_137,sorafenib,27,131,True,True
